hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,4,2015,September,39,22,0,3,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,133.0,0,2,Check-Out,2015-09-25
City Hotel,1,10,2017,February,8,21,0,2,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.0,0,0,Canceled,2017-02-11
City Hotel,1,177,2016,May,20,8,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,0,Transient,121.0,0,0,Canceled,2016-01-07
City Hotel,0,43,2016,November,46,12,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,92.4,0,1,Check-Out,2016-11-15
City Hotel,0,49,2017,February,8,20,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.1,0,1,Check-Out,2017-02-25
City Hotel,1,14,2016,March,10,4,2,7,2,0.0,0,HB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,132.33,0,0,Canceled,2016-02-25
City Hotel,0,95,2017,July,30,26,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,155.0,0,2,Check-Out,2017-07-29
City Hotel,1,56,2016,June,24,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,,0,Transient-Party,120.0,0,0,Canceled,2016-06-02
City Hotel,0,63,2017,February,9,26,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,99.03,0,0,Check-Out,2017-03-02
City Hotel,0,58,2016,December,50,9,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.6,1,1,Check-Out,2016-12-11
City Hotel,0,57,2016,November,46,11,1,2,3,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,28.0,,0,Transient,105.0,0,1,Check-Out,2016-11-14
City Hotel,0,8,2016,August,36,28,2,0,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,127.0,0,1,Check-Out,2016-08-30
City Hotel,0,61,2015,October,43,24,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,80.75,0,1,Check-Out,2015-10-25
City Hotel,0,166,2016,May,19,3,0,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,89.25,0,0,Check-Out,2016-05-07
City Hotel,0,4,2016,April,16,11,1,4,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,E,F,0,No Deposit,14.0,,0,Transient,155.0,0,1,Check-Out,2016-04-16
City Hotel,0,93,2016,March,12,17,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.95,0,1,Check-Out,2016-03-22
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,Canceled,2016-04-27
City Hotel,1,37,2016,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,105.0,0,0,Canceled,2016-09-06
City Hotel,1,56,2016,May,23,30,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,0,Canceled,2016-05-02
City Hotel,1,66,2017,April,15,9,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-02-02
City Hotel,1,272,2016,August,32,5,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,41,Transient,65.0,0,0,Canceled,2015-12-18
City Hotel,0,244,2016,September,36,3,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient-Party,85.5,0,1,Check-Out,2016-09-04
City Hotel,1,71,2016,April,18,24,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,105.4,0,0,Canceled,2016-02-13
City Hotel,1,177,2016,May,20,8,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,0,Transient,121.0,0,0,Canceled,2016-01-07
City Hotel,0,90,2016,April,15,9,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.3,0,1,Check-Out,2016-04-12
City Hotel,0,7,2017,July,30,23,2,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.75,0,1,Check-Out,2017-07-27
City Hotel,1,105,2017,May,19,13,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017-01-28
City Hotel,1,410,2017,May,19,9,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-04-17
City Hotel,1,444,2016,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,34.0,,39,Transient,75.0,0,0,Canceled,2015-10-23
City Hotel,0,121,2016,September,40,29,2,3,2,1.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,181.17,0,2,Check-Out,2016-10-04
City Hotel,1,32,2017,June,24,13,0,1,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Canceled,2017-05-26
City Hotel,0,0,2016,April,18,29,0,0,1,0.0,0,BB,PRT,Direct,Direct,1,0,0,B,B,1,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-04-29
City Hotel,0,98,2017,May,19,9,0,3,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2017-05-12
City Hotel,0,0,2017,February,8,25,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,142.0,0,1,Check-Out,2017-02-27
City Hotel,0,69,2015,October,44,25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,0,Check-Out,2015-10-28
City Hotel,0,28,2017,January,3,17,0,4,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,171.0,,0,Transient-Party,65.0,0,0,Check-Out,2017-01-21
City Hotel,1,89,2015,July,31,27,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,76.5,0,0,Canceled,2015-07-06
City Hotel,1,280,2016,September,39,19,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,35,Transient,110.0,0,0,Canceled,2016-01-18
City Hotel,0,161,2016,August,32,3,1,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient-Party,125.25,0,0,Check-Out,2016-08-08
City Hotel,0,15,2017,June,24,13,0,1,2,0.0,0,SC,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.0,0,0,Check-Out,2017-06-14
City Hotel,1,398,2016,August,33,11,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,444,2016,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,34.0,,39,Transient,75.0,0,0,Canceled,2015-10-23
City Hotel,0,271,2016,September,39,23,0,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,95.4,0,0,Check-Out,2016-09-25
City Hotel,1,86,2016,January,4,22,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,35,Transient,85.0,0,0,Canceled,2015-12-02
City Hotel,0,414,2017,July,28,13,0,2,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,122.4,0,1,Check-Out,2017-07-15
City Hotel,1,314,2015,August,35,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,12,2017,April,18,30,2,1,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,153.33,0,1,Check-Out,2017-05-03
City Hotel,0,169,2016,April,17,22,2,2,1,0.0,0,BB,RUS,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,2.0,,48,Transient-Party,63.5,0,0,Check-Out,2016-04-26
City Hotel,1,337,2016,June,24,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,56,2016,June,24,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,,0,Transient-Party,120.0,0,0,Canceled,2016-06-02
City Hotel,1,89,2015,October,40,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-09-09
City Hotel,0,74,2015,September,38,18,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,87.0,0,0,Check-Out,2015-09-20
City Hotel,0,131,2017,July,27,6,2,3,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.1,0,0,Check-Out,2017-07-11
City Hotel,1,322,2016,May,21,19,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,120,Transient,80.0,0,0,Canceled,2016-02-10
City Hotel,0,0,2016,September,39,18,2,0,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,45.0,0,Transient,0.0,0,0,Check-Out,2016-09-20
City Hotel,0,162,2015,September,38,17,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-09-20
City Hotel,0,214,2016,August,33,11,0,3,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient-Party,90.9,0,1,Check-Out,2016-08-14
City Hotel,1,1,2015,August,34,18,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,114.0,0,0,No-Show,2015-08-18
City Hotel,1,198,2016,May,21,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,1,No Deposit,1.0,,98,Transient-Party,65.0,0,0,Canceled,2016-05-18
City Hotel,1,147,2017,May,21,23,0,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,162.0,0,1,Canceled,2017-03-13
City Hotel,1,37,2017,March,11,12,2,2,2,0.0,0,SC,MAC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.93,0,1,Canceled,2017-02-06
City Hotel,0,5,2017,January,2,10,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,12,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-01-12
City Hotel,1,74,2017,May,22,28,2,1,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,207.0,0,0,Canceled,2017-03-21
City Hotel,1,92,2017,March,11,15,0,3,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,85.0,0,0,Canceled,2016-12-13
City Hotel,1,146,2017,April,17,29,0,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,1,Canceled,2017-03-15
City Hotel,0,144,2016,May,22,25,1,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,92.55,0,0,Check-Out,2016-05-30
City Hotel,0,31,2016,May,22,22,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.9,0,2,Check-Out,2016-05-23
City Hotel,0,59,2016,May,20,14,2,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,85.5,0,0,Check-Out,2016-05-19
City Hotel,0,7,2016,August,36,31,0,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,107.03,0,3,Check-Out,2016-09-01
City Hotel,0,190,2016,November,45,3,0,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,0,Check-Out,2016-11-06
City Hotel,1,207,2017,July,28,12,2,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2016-12-19
City Hotel,0,212,2016,October,42,9,2,2,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,103.84,0,1,Check-Out,2016-10-13
City Hotel,0,69,2016,October,43,16,2,3,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,139.57,0,1,Check-Out,2016-10-21
City Hotel,0,9,2017,July,26,1,2,1,2,0.0,0,SC,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,9.0,,0,Transient,142.33,0,1,Check-Out,2017-07-04
City Hotel,0,18,2016,April,15,8,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0,1,Check-Out,2016-04-09
City Hotel,0,139,2017,August,32,9,2,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,83.0,,0,Transient,111.6,0,0,Check-Out,2017-08-16
City Hotel,0,2,2015,December,50,9,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,58.0,0,0,Check-Out,2015-12-12
City Hotel,1,210,2017,June,25,19,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,154.0,,0,Transient,130.0,0,0,Canceled,2017-01-24
City Hotel,1,23,2017,February,9,27,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.8,0,1,Canceled,2017-02-21
City Hotel,0,217,2016,September,39,23,1,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,159.3,0,1,Check-Out,2016-09-26
City Hotel,1,156,2017,August,35,31,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,82.94,0,1,Canceled,2017-06-20
City Hotel,1,307,2015,August,34,20,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2014-10-17
City Hotel,0,177,2016,August,34,16,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.5,1,1,Check-Out,2016-08-18
City Hotel,1,50,2017,April,15,9,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2017-02-21
