date,day_of_week,rained_today,rained_yesterday
2022-08-20,Saturday,True,True
2022-08-21,Sunday,False,True
2022-08-22,Monday,False,False
2022-08-23,Tuesday,False,False
2022-08-24,Wednesday,False,False
2022-08-25,Thursday,True,False
2022-08-26,Friday,False,True
2022-08-27,Saturday,False,False
2022-08-28,Sunday,False,False
2022-08-29,Monday,True,False
2022-08-30,Tuesday,False,True
2022-08-31,Wednesday,False,False
2022-09-01,Thursday,False,False
2022-09-02,Friday,True,False
2022-09-03,Saturday,True,True
2022-09-04,Sunday,False,True
2022-09-05,Monday,True,False
2022-09-06,Tuesday,False,True
2022-09-07,Wednesday,False,False
2022-09-08,Thursday,False,False
2022-09-09,Friday,False,False
2022-09-10,Saturday,True,False
2022-09-11,Sunday,True,True
2022-09-12,Monday,False,True
2022-09-13,Tuesday,False,False
2022-09-14,Wednesday,False,False
2022-09-15,Thursday,False,False
2022-09-16,Friday,False,False
2022-09-17,Saturday,False,False
2022-09-18,Sunday,False,False
2022-09-19,Monday,False,False
2022-09-20,Tuesday,False,False
2022-09-21,Wednesday,False,False
2022-09-22,Thursday,False,False
2022-09-23,Friday,False,False
2022-09-24,Saturday,True,False
2022-09-25,Sunday,False,True
2022-09-26,Monday,False,False
2022-09-27,Tuesday,False,False
2022-09-28,Wednesday,False,False
2022-09-29,Thursday,False,False
2022-09-30,Friday,False,False
2022-10-01,Saturday,False,False
2022-10-02,Sunday,False,False
2022-10-03,Monday,False,False
2022-10-04,Tuesday,False,False
2022-10-05,Wednesday,False,False
2022-10-06,Thursday,False,False
2022-10-07,Friday,False,False
2022-10-08,Saturday,False,False
2022-10-09,Sunday,False,False
2022-10-10,Monday,False,False
2022-10-11,Tuesday,False,False
2022-10-12,Wednesday,True,False
2022-10-13,Thursday,False,True
2022-10-14,Friday,False,False
2022-10-15,Saturday,True,False
2022-10-16,Sunday,True,True
2022-10-17,Monday,False,True
2022-10-18,Tuesday,False,False
2022-10-19,Wednesday,False,False
2022-10-20,Thursday,False,False
2022-10-21,Friday,False,False
2022-10-22,Saturday,False,False
2022-10-23,Sunday,False,False
2022-10-24,Monday,False,False
2022-10-25,Tuesday,False,False
2022-10-26,Wednesday,True,False
2022-10-27,Thursday,False,True
2022-10-28,Friday,False,False
2022-10-29,Saturday,False,False
2022-10-30,Sunday,True,False
2022-10-31,Monday,True,True
2022-11-01,Tuesday,False,True
2022-11-02,Wednesday,True,False
2022-11-03,Thursday,False,True
2022-11-04,Friday,False,False
2022-11-05,Saturday,True,False
2022-11-06,Sunday,True,True
2022-11-07,Monday,False,True
2022-11-08,Tuesday,False,False
2022-11-09,Wednesday,False,False
2022-11-10,Thursday,False,False
2022-11-11,Friday,True,False
2022-11-12,Saturday,True,True
2022-11-13,Sunday,False,True
2022-11-14,Monday,False,False
2022-11-15,Tuesday,True,False
2022-11-16,Wednesday,False,True
2022-11-17,Thursday,False,False
2022-11-18,Friday,False,False
2022-11-19,Saturday,False,False
2022-11-20,Sunday,False,False
2022-11-21,Monday,False,False
2022-11-22,Tuesday,False,False
2022-11-23,Wednesday,False,False
2022-11-24,Thursday,True,False
2022-11-25,Friday,True,True
2022-11-26,Saturday,True,True
2022-11-27,Sunday,True,True
2022-11-28,Monday,False,True
2022-11-29,Tuesday,True,False
2022-11-30,Wednesday,True,True
2022-12-01,Thursday,False,True
2022-12-02,Friday,False,False
2022-12-03,Saturday,True,False
2022-12-04,Sunday,False,True
2022-12-05,Monday,True,False
2022-12-06,Tuesday,True,True
2022-12-07,Wednesday,True,True
2022-12-08,Thursday,True,True
2022-12-09,Friday,False,True
2022-12-10,Saturday,True,False
2022-12-11,Sunday,False,True
2022-12-12,Monday,False,False
2022-12-13,Tuesday,False,False
2022-12-14,Wednesday,True,False
2022-12-15,Thursday,False,True
2022-12-16,Friday,False,False
2022-12-17,Saturday,False,False
2022-12-18,Sunday,False,False
2022-12-19,Monday,False,False
2022-12-20,Tuesday,False,False
2022-12-21,Wednesday,False,False
2022-12-22,Thursday,True,False
2022-12-23,Friday,False,True
2022-12-24,Saturday,False,False
2022-12-25,Sunday,False,False
2022-12-26,Monday,True,False
2022-12-27,Tuesday,False,True
2022-12-28,Wednesday,False,False
2022-12-29,Thursday,True,False
2022-12-30,Friday,True,True
2022-12-31,Saturday,True,True
